kd_desa,kd_kecamatan,kd_kabupaten,ditetapkan_oleh,sk_lembaga,pembina_status_ada,pembina_ditetapkan_oleh,pembina_sk_penetapan,created_by,updated_by,created_at,updated_at
3502160011,3502160,3502,KEPALA DESA ,"188,45/9/405,32,6,13/2019",ada,,,3502160011,3502160011,2020-11-04 04:09:36,2020-11-04 04:09:36
3502160012,3502160,3502,kepala desa,,ada,,,3502160012,3502160012,2021-06-16 02:10:44,2021-06-16 02:10:44
3502180002,3502180,3502,Kepala Desa,188.4/44/405.32.03.06/2019,tidak,Kepala Desa,,3502180002,3502180002,2020-10-13 04:15:13,2020-10-20 03:42:41
3502180006,3502180,3502,KEPALA DESA,188.4/10/405.30.03/06/2018,ada,KEPALA DESA,188.4/10/405.30.03/06/2018,3502180006,3502180006,2021-02-25 04:43:25,2021-02-25 04:43:25
3502180008,3502180,3502,Kepala Desa,188.4/08/405.30.16.08/2020,ada,Kepala Desa,188.4/07/405.30.16.08/2020,3502180008,3502180008,2020-10-14 03:05:18,2020-10-14 03:05:18
3502180010,3502180,3502,KEPALA DESA,188.4/24/405.30.16.10/2020  ,ada,KEPALA DESA,188.4/24/405.30.16.10/2020  ,3502180010,3502180010,2020-11-02 03:02:58,2020-11-02 03:02:58
3502180012,3502180,3502,KEPALA DESA,240/14 /405.30.3/12/2017,ada,KEPALA DESA,240/15/405.30.3/12/2017,3502180012,3502180012,2021-03-02 03:10:26,2021-03-02 03:10:26
3502180013,3502180,3502,Kepala Desa,188.45/10/405.30.16.13/2020,ada,,,3502180013,3502180013,2021-02-03 03:18:00,2021-02-03 03:18:00
3502180014,3502180,3502,KEPALA DESA,240/23/405.30.16.14/2020,ada,KEPALA DESA,240/23/405.30.16.14/2020,3502180014,3502180014,2020-10-23 03:50:04,2020-10-23 03:50:04
3502180015,3502180,3502,KEPALA DESA,188.4/1/405.30.3/15/2017,ada,KEPALA DESA,188.4/1/405.30.3/15/2017,3502180015,3502180015,2021-02-25 04:58:35,2021-02-25 04:58:35
3502190009,3502190,3502,KEPALA DESA,,ada,,,3502190009,3502190009,2020-11-25 04:52:47,2020-11-25 04:52:47
3502190016,3502190,3502,kades,,ada,"Suwendi, SH",12.09.2015,3502190016,3502190016,2021-03-19 14:20:06,2021-03-19 14:20:06
3502200001,3502200,3502,Kepala Desa, Tahun 2019,ada,Kepala Desa,Tahun 2019,3502200001,3502200001,2021-03-26 15:17:26,2021-03-26 15:17:26
3502200005,3502200,3502,KEPALA DESA,20,ada,KEPALA DESA,21,3502200005,3502200005,2021-07-09 05:37:17,2021-07-09 05:37:17
3502200007,3502200,3502,KEPALA DESA,141/13/405.32.19.07/2015,ada,,,3502200007,3502200007,2020-11-30 02:44:09,2020-12-03 05:07:05
