kd_desa,kd_kecamatan,kd_kabupaten,ditetapkan_oleh,sk_lembaga,pembina_status_ada,pembina_ditetapkan_oleh,pembina_sk_penetapan,created_by,updated_by,created_at,updated_at
3502150007,3502150,3502,,,ada,,,3502150007,3502150007,2020-11-06 03:44:41,2020-11-06 03:44:41
3502160002,3502160,3502,KEPALA DESA,-,tidak,,-,3502160002,3502160002,2021-07-12 16:57:17,2021-07-12 16:57:17
3502160003,3502160,3502,KEPALA DESA,188.45/21/405.32.6.16/2019,ada,,,3502160003,3502160003,2021-07-13 03:56:17,2021-07-13 03:56:17
3502160004,3502160,3502,KEPALA DESA,0,tidak,,,3502160004,3502160004,2021-06-21 16:26:49,2021-06-21 16:26:49
3502160008,3502160,3502,,,ada,,,3502160008,3502160008,2021-07-09 02:52:35,2021-07-09 02:52:35
3502160009,3502160,3502,KEPALA DESA,,ada,CAMAT,,3502160009,3502160009,2021-07-14 07:26:21,2021-07-14 07:26:21
3502160011,3502160,3502,KEPALA DESA,"188,45/15/405,32,6,13/2919",ada,,,3502160011,3502160011,2020-11-04 04:07:34,2020-11-04 04:07:34
3502160012,3502160,3502,Kepala Desa,,tidak,,,3502160012,3502160012,2021-06-16 02:09:56,2021-06-16 02:09:56
3502160017,3502160,3502,KEPALA DESA,188.45/10/405.32.6.15/2019,ada,KEPALA DESA,,3502160017,3502160017,2021-03-18 09:19:54,2021-03-18 09:19:54
3502180002,3502180,3502,Kepala Desa,188.4/35/405.30.16.02/2020,tidak,,,3502180002,3502180002,2020-10-13 04:14:40,2020-10-20 03:48:14
3502180009,3502180,3502,KEPALA DESA,188.4/11/405/603/09/2016,ada,BUPATI ,,3502180009,3502180009,2021-02-25 03:58:59,2021-02-25 03:58:59
3502180010,3502180,3502,KEPALA DESA,188.4/08/405.32.3/14/2019   ,ada,KEPALA DESA,188.4/08/405.32.3/14/2019   ,3502180010,3502180010,2020-11-02 02:42:28,2020-11-02 02:42:28
3502180011,3502180,3502,KEPALA DESA,188.4/12/405.30.3/08/2017,tidak,,,3502180011,3502180011,2020-10-20 04:31:09,2020-10-20 04:31:09
3502180012,3502180,3502,KEPALA DESA,188/11/405.03.3/12/2018,ada,KEPALA DESA,188/11/405.03.3/12/2018,3502180012,3502180012,2021-03-02 02:43:26,2021-03-02 02:43:26
3502180013,3502180,3502,Kepala Desa,188.4/15/405.30.3/13/2015,ada,,,3502180013,3502180013,2021-02-03 12:43:30,2021-02-03 12:43:30
3502180014,3502180,3502,KEPALA DESA,188.4/18/405.32.3/13/2019,tidak,,,3502180014,3502180014,2020-10-23 03:48:11,2020-10-23 03:48:11
3502180015,3502180,3502,KEPALA DESA,188.4/15/405.16.15/2020,ada,,,3502180015,3502180015,2021-02-25 04:44:39,2021-02-25 04:44:39
3502190009,3502190,3502,KEPALA DESA,141/21405.32.2.04/2019,ada,BUPATI,188.45/1911/405.14/2019,3502190009,3502190009,2020-11-25 04:52:27,2020-11-27 09:02:13
3502190016,3502190,3502,"SUWENDI, SH",No. 07 Tahun 2018,ada,Kepala Desa,,3502190016,3502190016,2021-03-22 04:10:42,2021-03-22 04:10:42
3502200001,3502200,3502,Kepala Desa,,ada,,,3502200001,3502200001,2021-03-25 14:31:26,2021-03-25 14:31:26
3502200005,3502200,3502,KEPALA DESA,15,ada,KEPALA DESA,16,3502200005,3502200005,2021-07-09 05:36:33,2021-07-09 05:36:33
3502200006,3502200,3502,KEPALA DESA,140/032 /405.30.19.06/2017,tidak,,,3502200006,3502200006,2020-11-13 01:19:25,2020-11-13 01:19:25
3502200007,3502200,3502,KEPALA DESA,140/31/405.30.19.07/2020,ada,,,3502200007,3502200007,2020-11-30 02:43:12,2020-12-11 03:30:05
